#,DEX,ID,NAME,FAST,CHARGE,Fast DPS,Charge DPS,Useless,Weave DPS,Fast%,NOTES,OFF %,DEF %, ,Comb Rank,DPS,OFF TDO,OFF TDO %,DEF TDO,DEF TDO %,EHP,MAX CP,,Comb Rank_1,EHP_1,DPS_1,OFF TDO_1,,Comb Rank_3,EHP_3,DPS_3,OFF TDO_3
18,3,3,Venusaur,Vine Whip,Petal Blizzard,7.8,26.2,,12.5,75%,,85%,70%,,1384,12.5,369,51.2%,209,41.8%,154,2720,,1290,154,12.5,369,,55,246,20.0,946
19,3,3,Venusaur,Vine Whip,Solar Beam,7.8,23.0,,13.8,60%,,95%,92%,,727,13.8,409,56.7%,274,54.7%,154,2720,,981,154,13.8,409,,30,246,22.1,1046
20,3,3,Venusaur,Vine Whip,Frenzy Plant,7.8,23.8,,14.6,58%,EVENT,100%,99%,,560,14.6,432,59.9%,295,58.9%,154,2720,,785,154,14.6,432,,20,246,23.4,1106
21,4,4,Charmander,Ember,Flame Charge,4.3,7.2,,6.5,23%,,83%,95%,,4175,6.5,68,9.4%,65,13.0%,54,980,,4270,54,6.5,68,,4692,34,4.1,26
22,4,4,Charmander,Ember,Flame Burst,4.3,10.4,,7.3,50%,,93%,96%,,4092,7.3,76,10.6%,66,13.2%,54,980,,4177,54,7.3,76,,4673,34,4.6,30
23,4,4,Charmander,Ember,Flamethrower,4.3,12.2,,7.8,55%,,100%,100%,,4029,7.8,81,11.3%,69,13.7%,54,980,,4083,54,7.8,81,,4647,34,4.9,32
24,4,4,Charmander,Scratch,Flame Charge,4.6,7.2,,6.5,25%,,83%,80%,,4267,6.5,68,9.4%,55,10.9%,54,980,,4268,54,6.5,68,,4664,34,4.6,30
25,4,4,Charmander,Scratch,Flame Burst,4.6,10.4,,7.3,53%,,94%,80%,,4209,7.3,76,10.6%,55,11.0%,54,980,,4175,54,7.3,76,,4618,34,5.5,36
26,4,4,Charmander,Scratch,Flamethrower,4.6,12.2,,7.8,58%,,100%,84%,,4148,7.8,81,11.3%,58,11.5%,54,980,,4088,54,7.8,81,,4593,34,5.9,38
27,5,5,Charmeleon,Ember,Fire Punch,5.5,12.6,,9.4,46%,,91%,97%,,3192,9.4,158,21.9%,130,25.9%,87,1653,,3319,87,9.4,158,,4234,55,5.9,62
28,5,5,Charmeleon,Ember,Flame Burst,5.5,13.6,,9.3,54%,,89%,92%,,3253,9.3,156,21.6%,122,24.4%,87,1653,,3338,87,9.3,156,,4244,55,5.8,61
29,5,5,Charmeleon,Ember,Flamethrower,5.5,16.0,,9.9,58%,,95%,95%,,3145,9.9,166,23.0%,126,25.2%,87,1653,,3206,87,9.9,166,,4189,55,6.2,65
30,5,5,Charmeleon,Scratch,Fire Punch,5.8,12.6,,9.2,50%,LEGACY,89%,84%,,3334,9.2,155,21.5%,113,22.5%,87,1653,,3340,87,9.2,155,,4089,55,6.9,72
31,5,5,Charmeleon,Scratch,Flame Burst,5.8,13.6,,9.1,58%,LEGACY,88%,86%,,3323,9.1,153,21.2%,115,23.0%,87,1653,,3375,87,9.1,153,,4072,55,6.9,73
32,5,5,Charmeleon,Scratch,Flamethrower,5.8,16.0,,9.6,62%,LEGACY,93%,90%,,3231,9.6,162,22.5%,120,24.0%,87,1653,,3258,87,9.6,162,,4009,55,7.4,78
33,5,5,Charmeleon,Fire Fang,Fire Punch,6.6,12.6,,9.8,48%,,94%,100%,,3117,9.8,164,22.8%,133,26.6%,87,1653,,3236,87,9.8,164,,4198,55,6.1,64
34,5,5,Charmeleon,Fire Fang,Flame Burst,6.6,13.6,,9.7,56%,,94%,94%,,3197,9.7,163,22.7%,125,25.0%,87,1653,,3246,87,9.7,163,,4204,55,6.1,64
35,5,5,Charmeleon,Fire Fang,Flamethrower,6.6,16.0,,10.3,60%,,100%,97%,,3086,10.3,174,24.1%,130,25.9%,87,1653,,3132,87,10.3,174,,4142,55,6.5,68
36,6,6,Charizard,Ember,Fire Blast,7.3,23.2,,13.2,63%,LEGACY,83%,75%,,1209,13.2,352,48.8%,252,50.2%,139,2889,,1464,139,13.2,352,,3360,87,8.2,137
37,6,6,Charizard,Ember,Dragon Claw,7.3,16.9,,11.5,56%,LEGACY,72%,62%,,1683,11.5,307,42.7%,210,41.8%,139,2889,,1821,139,11.5,307,,3043,87,10.0,166
38,6,6,Charizard,Ember,Flamethrower,7.3,22.0,,13.1,61%,LEGACY,82%,73%,,1280,13.1,349,48.4%,243,48.5%,139,2889,,1480,139,13.1,349,,3373,87,8.2,136
39,6,6,Charizard,Ember,Overheat,7.3,27.9,,14.6,64%,LEGACY+TM,92%,83%,,796,14.6,391,54.2%,280,55.8%,139,2889,,1119,139,14.6,391,,3181,87,9.1,153
40,6,6,Charizard,Ember,Blast Burn,7.3,23.2,,15.3,50%,IMPOSSIBLE,96%,96%,,529,15.3,408,56.6%,321,64.1%,139,2889,,982,139,15.3,408,,3107,87,9.6,159
41,6,6,Charizard,Wing Attack,Fire Blast,7.4,23.2,,13.5,61%,LEGACY,85%,73%,,1205,13.5,362,50.1%,245,49.0%,139,2889,,1372,139,13.5,362,,3014,87,10.2,170
42,6,6,Charizard,Wing Attack,Dragon Claw,7.4,16.9,,11.8,54%,LEGACY,74%,61%,,1677,11.8,314,43.5%,206,41.0%,139,2889,,1749,139,11.8,314,,2692,87,11.8,196
43,6,6,Charizard,Wing Attack,Flamethrower,7.4,22.0,,13.4,59%,LEGACY,84%,71%,,1275,13.4,358,49.6%,238,47.5%,139,2889,,1416,139,13.4,358,,3038,87,10.0,167
44,6,6,Charizard,Wing Attack,Overheat,7.4,27.9,,15.1,62%,LEGACY+TM,94%,82%,,760,15.1,403,55.8%,274,54.6%,139,2889,,1028,139,15.1,403,,2826,87,11.2,186
45,6,6,Charizard,Wing Attack,Blast Burn,7.4,23.2,,15.7,48%,IMPOSSIBLE,98%,95%,,513,15.7,418,58.0%,318,63.4%,139,2889,,897,139,15.7,418,,2843,87,11.1,185
46,6,6,Charizard,Fire Spin,Fire Blast,9.2,23.2,,14.1,65%,,88%,81%,,934,14.1,377,52.3%,272,54.3%,139,2889,,1217,139,14.1,377,,3241,87,8.8,147
47,6,6,Charizard,Fire Spin,Dragon Claw,9.2,16.9,,12.4,58%,,78%,67%,,1461,12.4,332,46.0%,224,44.7%,139,2889,,1590,139,12.4,332,,2964,87,10.4,174
48,6,6,Charizard,Fire Spin,Flamethrower,9.2,22.0,,14.0,63%,LEGACY+TM,88%,78%,,1075,14.0,373,51.8%,261,52.0%,139,2889,,1248,139,14.0,373,,3260,87,8.7,146
49,6,6,Charizard,Fire Spin,Overheat,9.2,27.9,,15.5,66%,,97%,89%,,594,15.5,415,57.5%,299,59.7%,139,2889,,931,139,15.5,415,,3081,87,9.7,162
50,6,6,Charizard,Fire Spin,Blast Burn,9.2,23.2,,16.0,52%,EVENT,100%,100%,,421,16.0,426,59.1%,335,66.9%,139,2889,,832,139,16.0,426,,3042,87,10.0,167
51,6,6,Charizard,Air Slash,Fire Blast,8.4,23.2,,13.4,66%,,84%,79%,,1107,13.4,359,49.7%,266,53.0%,139,2889,,1393,139,13.4,359,,2951,87,10.5,175
52,6,6,Charizard,Air Slash,Dragon Claw,8.4,16.9,,11.9,59%,,74%,66%,,1556,11.9,317,43.9%,221,44.0%,139,2889,,1724,139,11.9,317,,2677,87,11.9,198
53,6,6,Charizard,Air Slash,Flamethrower,8.4,22.0,,13.3,64%,LEGACY+TM,83%,76%,,1170,13.3,356,49.3%,255,50.9%,139,2889,,1426,139,13.3,356,,2978,87,10.4,173
54,6,6,Charizard,Air Slash,Overheat,8.4,27.9,,14.8,67%,,92%,87%,,686,14.8,394,54.7%,292,58.3%,139,2889,,1081,139,14.8,394,,2776,87,11.4,190
55,6,6,Charizard,Air Slash,Blast Burn,8.4,23.2,,15.4,53%,EVENT,96%,98%,,470,15.4,410,56.8%,329,65.6%,139,2889,,970,139,15.4,410,,2805,87,11.3,188
56,7,7,Squirtle,Bubble,Aqua Jet,3.6,5.6,,4.9,37%,,79%,84%,,4249,4.9,68,9.4%,57,11.4%,72,946,,4274,72,4.9,68,,4151,116,3.0,68
57,7,7,Squirtle,Bubble,Aqua Tail,3.6,8.5,,6.2,47%,,100%,100%,,4005,6.2,86,11.9%,68,13.5%,72,946,,4034,72,6.2,86,,3902,116,3.9,86
58,7,7,Squirtle,Bubble,Water Pulse,3.6,7.1,,5.5,44%,,89%,95%,,4105,5.5,77,10.6%,65,12.9%,72,946,,4168,72,5.5,77,,4022,116,3.4,77
59,7,7,Squirtle,Tackle,Aqua Jet,3.5,5.6,,4.8,41%,,77%,74%,,4315,4.8,66,9.2%,50,10.0%,72,946,,4294,72,4.8,66,,4006,116,3.5,78
60,7,7,Squirtle,Tackle,Aqua Tail,3.5,8.5,,6.0,50%,,97%,89%,,4103,6.0,83,11.5%,61,12.1%,72,946,,4069,72,6.0,83,,3785,116,4.4,97
61,7,7,Squirtle,Tackle,Water Pulse,3.5,7.1,,5.4,48%,,87%,90%,,4169,5.4,75,10.3%,61,12.1%,72,946,,4197,72,5.4,75,,3878,116,4.0,88
62,8,8,Wartortle,Water Gun,Aqua Jet,4.9,7.2,,6.2,44%,,74%,70%,,3577,6.2,126,17.5%,93,18.6%,105,1488,,3625,105,6.2,126,,3484,169,3.9,126
63,8,8,Wartortle,Water Gun,Ice Beam,4.9,9.4,,7.2,50%,,85%,90%,,3329,7.2,146,20.2%,120,23.8%,105,1488,,3427,105,7.2,146,,3259,169,4.5,146
64,8,8,Wartortle,Water Gun,Hydro Pump,4.9,16.3,,8.4,69%,,100%,95%,,3125,8.4,171,23.7%,127,25.3%,105,1488,,3175,105,8.4,171,,2996,169,5.3,171
65,8,8,Wartortle,Bite,Aqua Jet,4.9,7.2,,6.1,48%,,73%,66%,,3613,6.1,124,17.2%,88,17.6%,105,1488,,3632,105,6.1,124,,3113,169,4.9,159
66,8,8,Wartortle,Bite,Ice Beam,4.9,9.4,,7.0,53%,,83%,84%,,3402,7.0,142,19.7%,111,22.2%,105,1488,,3466,105,7.0,142,,2963,169,5.4,174
67,8,8,Wartortle,Bite,Hydro Pump,4.9,16.3,,8.1,72%,,96%,100%,,3121,8.1,163,22.7%,133,26.6%,105,1488,,3248,105,8.1,163,,2580,169,6.4,206
68,9,9,Blastoise,Water Gun,Flash Cannon,6.2,16.8,,8.9,74%,,70%,54%,,2309,8.9,281,38.9%,149,29.7%,164,2466,,2063,164,8.9,281,,1847,263,5.5,281
69,9,9,Blastoise,Water Gun,Ice Beam,6.2,12.4,,9.2,52%,,72%,71%,,1866,9.2,290,40.2%,197,39.3%,164,2466,,1981,164,9.2,290,,1764,263,5.7,290
70,9,9,Blastoise,Water Gun,Hydro Pump,6.2,21.4,,10.7,70%,,84%,72%,,1594,10.7,338,46.8%,200,39.9%,164,2466,,1557,164,10.7,338,,1409,263,6.7,338
71,9,9,Blastoise,Water Gun,Hydro Cannon,6.2,25.4,,12.7,66%,EVENT,100%,92%,,937,12.7,400,55.5%,255,50.9%,164,2466,,1042,164,12.7,400,,1013,263,7.9,400
72,9,9,Blastoise,Bite,Flash Cannon,6.2,16.8,,8.5,78%,,67%,57%,,2296,8.5,270,37.5%,158,31.4%,164,2466,,2151,164,8.5,270,,1242,263,7.1,361
73,9,9,Blastoise,Bite,Ice Beam,6.2,12.4,,8.9,56%,,70%,75%,,1842,8.9,281,39.0%,208,41.5%,164,2466,,2058,164,8.9,281,,1332,263,6.9,347
74,9,9,Blastoise,Bite,Hydro Pump,6.2,21.4,,10.2,74%,,80%,77%,,1588,10.2,321,44.5%,213,42.5%,164,2466,,1682,164,10.2,321,,963,263,8.1,407
75,9,9,Blastoise,Bite,Hydro Cannon,6.2,25.4,,11.9,70%,EVENT,94%,100%,,894,11.9,378,52.4%,277,55.2%,164,2466,,1211,164,11.9,378,,661,263,9.1,459
76,10,10,Caterpie,Bug Bite,Struggle,2.9,2.9,,2.9,29%,,100%,100%,,4737,2.9,21,3.0%,14,2.8%,38,437,,4731,38,2.9,21,,4724,38,2.9,21
77,10,10,Caterpie,Tackle,Struggle,2.6,2.9,,2.8,31%,,96%,95%,,4739,2.8,21,2.9%,13,2.7%,38,437,,4734,38,2.8,21,,4726,38,2.8,21
78,11,11,Metapod,Bug Bite,Struggle,2.6,2.5,,2.6,37%,,100%,100%,,4723,2.6,28,3.8%,18,3.5%,55,450,,4707,55,2.6,28,,4684,55,2.6,28
79,11,11,Metapod,Tackle,Struggle,2.4,2.5,,2.4,39%,,93%,95%,,4729,2.4,26,3.6%,17,3.3%,55,450,,4722,55,2.4,26,,4700,55,2.4,26
80,12,12,Butterfree,Bug Bite,Bug Buzz,6.1,13.0,,10.1,41%,LEGACY,100%,100%,,2703,10.1,187,26.0%,166,33.1%,96,1827,,2990,96,10.1,187,,2811,96,10.1,187
81,12,12,Butterfree,Bug Bite,Psychic,6.1,15.8,,9.1,69%,LEGACY,90%,67%,,3267,9.1,168,23.3%,111,22.2%,96,1827,,3195,96,9.1,168,,3024,96,9.1,168
82,12,12,Butterfree,Bug Bite,Signal Beam,6.1,13.8,,10.0,49%,LEGACY,99%,93%,,2829,10.0,185,25.7%,154,30.6%,96,1827,,3017,96,10.0,185,,2842,96,10.0,185
83,12,12,Butterfree,Confusion,Bug Buzz,5.8,13.0,,9.8,45%,,97%,98%,,2768,9.8,181,25.1%,163,32.5%,96,1827,,3060,96,9.8,181,,2878,96,9.8,181
84,12,12,Butterfree,Confusion,Psychic,5.8,15.8,,8.6,72%,,85%,74%,,3225,8.6,160,22.2%,123,24.6%,96,1827,,3297,96,8.6,160,,3104,96,8.6,160
85,12,12,Butterfree,Confusion,Signal Beam,5.8,13.8,,9.6,52%,,95%,91%,,2907,9.6,178,24.7%,151,30.1%,96,1827,,3086,96,9.6,178,,2908,96,9.6,178
86,12,12,Butterfree,Struggle Bug,Bug Buzz,5.6,13.0,,9.8,44%,,97%,98%,,2776,9.8,181,25.1%,162,32.3%,96,1827,,3062,96,9.8,181,,2882,96,9.8,181
87,12,12,Butterfree,Struggle Bug,Psychic,5.6,15.8,,8.6,71%,,85%,73%,,3247,8.6,159,22.0%,121,24.0%,96,1827,,3308,96,8.6,159,,3118,96,8.6,159
88,12,12,Butterfree,Struggle Bug,Signal Beam,5.6,13.8,,9.6,51%,,95%,90%,,2917,9.6,178,24.7%,149,29.8%,96,1827,,3089,96,9.6,178,,2912,96,9.6,178
89,13,13,Weedle,Bug Bite,Struggle,3.1,3.2,,3.2,27%,,100%,99%,,4738,3.2,20,2.8%,14,2.7%,33,456,,4735,33,3.2,20,,4727,33,3.2,20
90,13,13,Weedle,Poison Sting,Struggle,2.6,3.2,,3.0,27%,,96%,100%,,4740,3.0,20,2.7%,14,2.7%,33,456,,4743,33,3.0,20,,4732,33,3.0,20
91,14,14,Kakuna,Bug Bite,Struggle,2.7,2.5,,2.6,36%,,100%,99%,,4730,2.7,25,3.5%,16,3.2%,49,432,,4724,49,2.7,25,,4703,49,2.7,25
92,14,14,Kakuna,Poison Sting,Struggle,2.2,2.5,,2.4,36%,,91%,100%,,4733,2.4,23,3.2%,16,3.2%,49,432,,4728,49,2.4,23,,4719,49,2.4,23
93,15,15,Beedrill,Bug Bite,Sludge Bomb,6.1,18.6,,11.8,55%,LEGACY,100%,100%,,2410,11.8,217,30.1%,180,36.0%,96,1846,,2680,96,11.8,217,,2484,96,11.8,217
94,15,15,Beedrill,Bug Bite,Aerial Ace,6.1,10.3,,8.6,41%,LEGACY,73%,67%,,3245,8.6,159,22.0%,121,24.1%,96,1846,,3306,96,8.6,159,,3114,96,8.6,159
95,15,15,Beedrill,Bug Bite,X Scissor,6.1,15.0,,10.3,53%,LEGACY,88%,75%,,2953,10.3,190,26.4%,136,27.1%,96,1846,,2951,96,10.3,190,,2771,96,10.3,190
96,15,15,Beedrill,Poison Jab,Sludge Bomb,7.2,18.6,,11.8,60%,,100%,92%,,2517,11.8,218,30.2%,166,33.1%,96,1846,,2679,96,11.8,218,,2481,96,11.8,218
97,15,15,Beedrill,Poison Jab,Aerial Ace,7.2,10.3,,8.9,46%,,75%,71%,,3138,8.9,164,22.8%,129,25.7%,96,1846,,3239,96,8.9,164,,3069,96,8.9,164
98,15,15,Beedrill,Poison Jab,X Scissor,7.2,15.0,,10.5,58%,,89%,79%,,2884,10.5,194,26.8%,143,28.4%,96,1846,,2897,96,10.5,194,,2720,96,10.5,194
99,15,15,Beedrill,Infestation,Sludge Bomb,5.3,18.6,,11.6,53%,,98%,92%,,2538,11.6,214,29.6%,165,33.0%,96,1846,,2705,96,11.6,214,,2515,96,11.6,214
100,15,15,Beedrill,Infestation,Aerial Ace,5.3,10.3,,8.4,39%,,71%,70%,,3229,8.4,154,21.4%,126,25.1%,96,1846,,3351,96,8.4,154,,3169,96,8.4,154
101,15,15,Beedrill,Infestation,X Scissor,5.3,15.0,,10.1,51%,,85%,76%,,2982,10.1,186,25.8%,137,27.3%,96,1846,,3010,96,10.1,186,,2832,96,10.1,186
102,16,16,Pidgey,Quick Attack,Twister,3.5,4.0,,3.9,26%,,68%,67%,,4678,3.9,34,4.7%,28,5.6%,45,680,,4681,45,3.9,34,,4633,45,3.9,34
103,16,16,Pidgey,Quick Attack,Aerial Ace,3.5,6.8,,5.8,31%,,100%,100%,,4498,5.8,50,6.9%,42,8.3%,45,680,,4522,45,5.8,50,,4438,45,5.8,50
104,16,16,Pidgey,Quick Attack,Air Cutter,3.5,6.6,,5.3,42%,,91%,96%,,4564,5.3,45,6.3%,40,7.9%,45,680,,4594,45,5.3,45,,4510,45,5.3,45
105,16,16,Pidgey,Tackle,Twister,3.8,4.0,,4.0,29%,,69%,59%,,4691,4.0,34,4.7%,25,4.9%,45,680,,4680,45,4.0,34,,4629,45,4.0,34
106,16,16,Pidgey,Tackle,Aerial Ace,3.8,6.8,,5.8,34%,,100%,87%,,4593,5.8,50,6.9%,36,7.2%,45,680,,4518,45,5.8,50,,4435,45,5.8,50
107,16,16,Pidgey,Tackle,Air Cutter,3.8,6.6,,5.3,45%,,92%,80%,,4628,5.3,46,6.4%,33,6.6%,45,680,,4590,45,5.3,46,,4506,45,5.3,46
108,17,17,Pidgeotto,Wing Attack,Twister,4.4,5.3,,5.0,34%,,70%,67%,,4137,5.0,76,10.5%,62,12.4%,79,1194,,4185,79,5.0,76,,4038,79,5.0,76
109,17,17,Pidgeotto,Wing Attack,Aerial Ace,4.4,8.9,,7.2,39%,,100%,100%,,3661,7.2,109,15.1%,93,18.5%,79,1194,,3767,79,7.2,109,,3674,79,7.2,109
110,17,17,Pidgeotto,Wing Attack,Air Cutter,4.4,8.7,,6.6,49%,,92%,87%,,3796,6.6,100,13.8%,81,16.2%,79,1194,,3866,79,6.6,100,,3768,79,6.6,100
111,17,17,Pidgeotto,Steel Wing,Twister,4.9,5.3,,5.1,40%,,72%,65%,,4146,5.1,78,10.8%,60,12.0%,79,1194,,4145,79,5.1,78,,4159,79,4.4,67
112,17,17,Pidgeotto,Steel Wing,Aerial Ace,4.9,8.9,,7.1,45%,,100%,94%,,3702,7.1,108,15.0%,87,17.3%,79,1194,,3776,79,7.1,108,,3808,79,6.3,96
113,17,17,Pidgeotto,Steel Wing,Air Cutter,4.9,8.7,,6.6,55%,,92%,88%,,3782,6.6,100,13.9%,82,16.3%,79,1194,,3862,79,6.6,100,,3913,79,5.6,85
114,18,18,Pidgeot,Wing Attack,Hurricane,5.8,21.5,,10.4,71%,LEGACY,100%,89%,,2275,10.4,261,36.2%,166,33.2%,131,2129,,2233,131,10.4,261,,2030,131,10.4,261
115,18,18,Pidgeot,Wing Attack,Aerial Ace,5.8,12.1,,9.4,43%,LEGACY,91%,97%,,2288,9.4,237,32.8%,182,36.3%,131,2129,,2513,131,9.4,237,,2274,131,9.4,237
116,18,18,Pidgeot,Wing Attack,Air Cutter,5.8,11.8,,8.6,52%,LEGACY,83%,82%,,2605,8.6,218,30.2%,155,30.8%,131,2129,,2676,131,8.6,218,,2479,131,8.6,218
117,18,18,Pidgeot,Wing Attack,Brave Bird,5.8,23.6,,9.9,77%,LEGACY+TM,96%,80%,,2474,9.9,250,34.7%,150,29.9%,131,2129,,2347,131,9.9,250,,2125,131,9.9,250
118,18,18,Pidgeot,Steel Wing,Hurricane,6.5,21.5,,10.0,77%,,97%,88%,,2328,10.0,253,35.1%,166,33.1%,131,2129,,2327,131,10.0,253,,2587,131,8.2,206
119,18,18,Pidgeot,Steel Wing,Aerial Ace,6.5,12.1,,9.3,51%,,90%,98%,,2273,9.3,235,32.5%,185,36.9%,131,2129,,2530,131,9.3,235,,2614,131,8.1,203
120,18,18,Pidgeot,Steel Wing,Air Cutter,6.5,11.8,,8.7,60%,LEGACY,84%,83%,,2598,8.7,218,30.3%,156,31.1%,131,2129,,2674,131,8.7,218,,2875,131,7.2,181
121,18,18,Pidgeot,Steel Wing,Brave Bird,6.5,23.6,,9.7,82%,,93%,80%,,2498,9.7,244,33.8%,151,30.1%,131,2129,,2409,131,9.7,244,,2722,131,7.7,193
122,18,18,Pidgeot,Air Slash,Hurricane,6.5,21.5,,10.3,75%,,99%,96%,,2177,10.3,258,35.8%,181,36.1%,131,2129,,2260,131,10.3,258,,2053,131,10.3,258
123,18,18,Pidgeot,Air Slash,Aerial Ace,6.5,12.1,,9.4,48%,,91%,100%,,2230,9.4,237,32.9%,188,37.5%,131,2129,,2491,131,9.4,237,,2267,131,9.4,237
124,18,18,Pidgeot,Air Slash,Air Cutter,6.5,11.8,,8.8,58%,LEGACY+TM,85%,88%,,2503,8.8,221,30.6%,166,33.0%,131,2129,,2648,131,8.8,221,,2444,131,8.8,221
125,18,18,Pidgeot,Air Slash,Brave Bird,6.5,23.6,,9.9,80%,,95%,89%,,2339,9.9,249,34.5%,167,33.2%,131,2129,,2356,131,9.9,249,,2138,131,9.9,249
126,19,19,Rattata,Tackle,Dig,4.3,6.2,,5.7,26%,,72%,67%,,4635,5.7,41,5.7%,35,7.0%,38,734,,4644,38,5.7,41,,4568,38,5.7,41
127,19,19,Rattata,Tackle,Hyper Fang,4.3,11.1,,7.9,47%,,99%,82%,,4452,7.9,57,7.9%,43,8.6%,38,734,,4436,38,7.9,57,,4324,38,7.9,57
128,19,19,Rattata,Tackle,Body Slam,4.3,9.1,,7.1,41%,,90%,67%,,4590,7.1,52,7.2%,35,7.0%,38,734,,4496,38,7.1,52,,4411,38,7.1,52
129,19,19,Rattata,Quick Attack,Dig,4.0,6.2,,5.7,24%,,72%,78%,,4604,5.7,41,5.7%,41,8.1%,38,734,,4645,38,5.7,41,,4570,38,5.7,41
130,19,19,Rattata,Quick Attack,Hyper Fang,4.0,11.1,,7.9,44%,,100%,100%,,4370,7.9,57,8.0%,52,10.4%,38,734,,4431,38,7.9,57,,4320,38,7.9,57
131,19,19,Rattata,Quick Attack,Body Slam,4.0,9.1,,7.1,39%,,90%,79%,,4489,7.1,52,7.2%,41,8.2%,38,734,,4492,38,7.1,52,,4406,38,7.1,52
132,19,20,Rattata (Alola),Tackle,Crunch,4.3,7.6,,6.9,23%,,86%,75%,,4540,6.9,50,6.9%,39,7.8%,38,734,,4519,38,6.9,50,,4436,38,6.9,50
133,19,20,Rattata (Alola),Tackle,Hyper Fang,4.3,11.1,,7.9,47%,,99%,82%,,4453,7.9,57,7.9%,43,8.6%,38,734,,4437,38,7.9,57,,4325,38,7.9,57
134,19,20,Rattata (Alola),Tackle,Shadow Ball,4.3,9.7,,7.4,41%,,94%,80%,,4468,7.4,54,7.5%,42,8.4%,38,734,,4695,38,4.3,31,,4368,38,7.4,54
135,19,20,Rattata (Alola),Quick Attack,Crunch,4.0,7.6,,6.9,21%,,87%,86%,,4467,6.9,50,6.9%,45,8.9%,38,734,,4517,38,6.9,50,,4434,38,6.9,50
136,19,20,Rattata (Alola),Quick Attack,Hyper Fang,4.0,11.1,,7.9,44%,,100%,100%,,4371,7.9,57,8.0%,52,10.4%,38,734,,4432,38,7.9,57,,4321,38,7.9,57
